tex_ref,claim,source_csv,filter_expr,value_col,round_dp,manuscript_value
L200,"NDVI Q25->Q75 contrast CI low, NYC ICE Q1",numeric_results_ice_ndvi_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='NYC',ci_low_95,3,-0.023
L200,"NDVI Q25->Q75 contrast CI high, NYC ICE Q1",numeric_results_ice_ndvi_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='NYC',ci_high_95,3,-0.002
L200,"NDVI Q25->Q75 contrast, NYC ICE Q5",numeric_results_ice_ndvi_quartile_contrasts.csv,ice_stratum=='Q5 (Most Advantaged)' & city=='NYC',estimate,3,-0.022
L200,"NDVI Q25->Q75 contrast CI low, NYC ICE Q5",numeric_results_ice_ndvi_quartile_contrasts.csv,ice_stratum=='Q5 (Most Advantaged)' & city=='NYC',ci_low_95,3,-0.043
L200,"NDVI Q25->Q75 contrast CI high, NYC ICE Q5",numeric_results_ice_ndvi_quartile_contrasts.csv,ice_stratum=='Q5 (Most Advantaged)' & city=='NYC',ci_high_95,3,-0.001
L202,"Distance ratio Q25->Q75, LA ICE Q1",numeric_results_ice_distance_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='LA' & contrast=='Q75_vs_Q25',ratio,2,1.12
L202,"Distance ratio Q25->Q75, LA ICE Q5",numeric_results_ice_distance_quartile_contrasts.csv,ice_stratum=='Q5 (Most Advantaged)' & city=='LA' & contrast=='Q75_vs_Q25',ratio,2,1.07
L202,"Distance ratio Q25->Q75, NYC ICE Q5",numeric_results_ice_distance_quartile_contrasts.csv,ice_stratum=='Q5 (Most Advantaged)' & city=='NYC' & contrast=='Q75_vs_Q25',ratio,2,0.79
L202,"Distance ratio Q25->Q75, NYC ICE Q1",numeric_results_ice_distance_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='NYC' & contrast=='Q75_vs_Q25',ratio,2,0.93
L131,"NH CSI-outlier exclusion n, LA",numeric_results_outlier_exclusion_counts.csv,outcome=='Neighboring-home visits' & city=='LA',Outlier,0,33
L131,"NH CSI-outlier exclusion n, NYC",numeric_results_outlier_exclusion_counts.csv,outcome=='Neighboring-home visits' & city=='NYC',Outlier,0,84
L131,"NDVI CSI-outlier exclusion n, LA",numeric_results_outlier_exclusion_counts.csv,outcome=='NDVI' & city=='LA',Outlier,0,62
L131,"NDVI CSI-outlier exclusion n, NYC",numeric_results_outlier_exclusion_counts.csv,outcome=='NDVI' & city=='NYC',Outlier,0,87
L131,"Distance CSI-outlier exclusion n, LA",numeric_results_outlier_exclusion_counts.csv,outcome=='Distance to green space' & city=='LA',Outlier,0,62
L131,"Distance CSI-outlier exclusion n, NYC",numeric_results_outlier_exclusion_counts.csv,outcome=='Distance to green space' & city=='NYC',Outlier,0,98
L147/162,"Tract count, LA",numeric_results_tract_area_by_city.csv,city=='LA',n_tracts,0,1148
L147/162,"Tract count, NYC",numeric_results_tract_area_by_city.csv,city=='NYC',n_tracts,0,2164
L162,"Median tract area (km2), LA",numeric_results_tract_area_by_city.csv,city=='LA',median_km2,2,0.80
L162,"Median tract area (km2), NYC",numeric_results_tract_area_by_city.csv,city=='NYC',median_km2,2,0.19
L160,"Demographics missing n, LA",table2_missingness_diagnosis.csv,variable=='Percent Black' & city=='LA',n_missing,0,10
L160,"Demographics missing n, NYC",table2_missingness_diagnosis.csv,variable=='Percent Black' & city=='NYC',n_missing,0,40
L160,"CSI missing n, LA",table2_missingness_diagnosis.csv,variable=='Community Severance Index' & city=='LA',n_missing,0,25
L160,"CSI missing n, NYC",table2_missingness_diagnosis.csv,variable=='Community Severance Index' & city=='NYC',n_missing,0,41
L160,"ICE missing n, LA",table2_missingness_diagnosis.csv,variable=='ICE' & city=='LA',n_missing,0,12
L160,"ICE missing n, NYC",table2_missingness_diagnosis.csv,variable=='ICE' & city=='NYC',n_missing,0,48
L229,"Total population, full sample (millions)",numeric_results_misc_counts.csv,metric=='total_population_full_sample_millions' & city=='combined',value,0,13
L229,"Total population, NH sample (millions)",numeric_results_misc_counts.csv,metric=='total_population_nh_sample_millions' & city=='combined',value,1,8.2
L168,"NH primary model retained n, LA (CSI-outlier excluded)",numeric_results_misc_counts.csv,metric=='nh_primary_retained_n_by_city' & city=='LA',value,0,520
L168,"NH primary model retained n, NYC (CSI-outlier excluded)",numeric_results_misc_counts.csv,metric=='nh_primary_retained_n_by_city' & city=='NYC',value,0,1360
L168,"NH primary model retained n, combined (CSI-outlier excluded)",numeric_results_misc_counts.csv,metric=='nh_primary_retained_n' & city=='combined',value,0,1880
L198,"NH RR Q25->Q75, LA ICE Q1 CI low",numeric_results_ice_nh_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='LA',ci_low_95,2,0.84
L198,"NH RR Q25->Q75, LA ICE Q1 CI high",numeric_results_ice_nh_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='LA',ci_high_95,2,0.99
L198,"NH RR Q25->Q75, LA ICE Q5 CI low",numeric_results_ice_nh_quartile_contrasts.csv,ice_stratum=='Q5 (Most Advantaged)' & city=='LA',ci_low_95,2,0.82
L198,"NH RR Q25->Q75, LA ICE Q5 CI high",numeric_results_ice_nh_quartile_contrasts.csv,ice_stratum=='Q5 (Most Advantaged)' & city=='LA',ci_high_95,2,1.02
L198,"NH RR Q25->Q75, NYC ICE Q1",numeric_results_ice_nh_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='NYC',irr,2,0.82
L198,"NH RR Q25->Q75, NYC ICE Q1 CI low",numeric_results_ice_nh_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='NYC',ci_low_95,2,0.79
L198,"NH RR Q25->Q75, NYC ICE Q1 CI high",numeric_results_ice_nh_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='NYC',ci_high_95,2,0.86
L198,"NH RR Q25->Q75, NYC ICE Q5",numeric_results_ice_nh_quartile_contrasts.csv,ice_stratum=='Q5 (Most Advantaged)' & city=='NYC',irr,2,0.72
L198,"NH RR Q25->Q75, NYC ICE Q5 CI low",numeric_results_ice_nh_quartile_contrasts.csv,ice_stratum=='Q5 (Most Advantaged)' & city=='NYC',ci_low_95,2,0.64
L198,"NH RR Q25->Q75, NYC ICE Q5 CI high",numeric_results_ice_nh_quartile_contrasts.csv,ice_stratum=='Q5 (Most Advantaged)' & city=='NYC',ci_high_95,2,0.82
L202,"Distance ratio Q25->Q75, LA ICE Q1 CI low",numeric_results_ice_distance_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='LA' & contrast=='Q75_vs_Q25',ci_low_95,2,1.01
L202,"Distance ratio Q25->Q75, LA ICE Q1 CI high",numeric_results_ice_distance_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='LA' & contrast=='Q75_vs_Q25',ci_high_95,2,1.24
L202,"Distance ratio Q25->Q75, LA ICE Q5 CI low",numeric_results_ice_distance_quartile_contrasts.csv,ice_stratum=='Q5 (Most Advantaged)' & city=='LA' & contrast=='Q75_vs_Q25',ci_low_95,2,0.95
L202,"Distance ratio Q25->Q75, LA ICE Q5 CI high",numeric_results_ice_distance_quartile_contrasts.csv,ice_stratum=='Q5 (Most Advantaged)' & city=='LA' & contrast=='Q75_vs_Q25',ci_high_95,2,1.21
L202,"Distance ratio Q25->Q75, NYC ICE Q1 CI low",numeric_results_ice_distance_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='NYC' & contrast=='Q75_vs_Q25',ci_low_95,2,0.83
L202,"Distance ratio Q25->Q75, NYC ICE Q1 CI high",numeric_results_ice_distance_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='NYC' & contrast=='Q75_vs_Q25',ci_high_95,2,1.03
L198,"NH RR Q5-vs-Q1 ratio-of-ratios, LA",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='neighbor_visit_count_annual_avg' & city=='LA',ratio_q5_vs_q1,2,1.00
L198,"NH RR Q5-vs-Q1 ratio CI low, LA",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='neighbor_visit_count_annual_avg' & city=='LA',ratio_ci_low_95,2,0.87
L198,"NH RR Q5-vs-Q1 ratio CI high, LA",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='neighbor_visit_count_annual_avg' & city=='LA',ratio_ci_high_95,2,1.14
L198,"NH RR Q5-vs-Q1 ratio-of-ratios, NYC",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='neighbor_visit_count_annual_avg' & city=='NYC',ratio_q5_vs_q1,2,0.88
L198,"NH RR Q5-vs-Q1 ratio CI low, NYC",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='neighbor_visit_count_annual_avg' & city=='NYC',ratio_ci_low_95,2,0.77
L198,"NH RR Q5-vs-Q1 ratio CI high, NYC",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='neighbor_visit_count_annual_avg' & city=='NYC',ratio_ci_high_95,2,1.00
L200,"NDVI Q5-minus-Q1 difference, LA",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='NDVI' & city=='LA',diff_q5_minus_q1,3,-0.005
L200,"NDVI Q5-minus-Q1 difference CI low, LA",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='NDVI' & city=='LA',diff_ci_low_95,3,-0.018
L200,"NDVI Q5-minus-Q1 difference CI high, LA",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='NDVI' & city=='LA',diff_ci_high_95,3,0.008
L200,"NDVI Q5-minus-Q1 difference, NYC",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='NDVI' & city=='NYC',diff_q5_minus_q1,3,-0.009
L200,"NDVI Q5-minus-Q1 difference CI low, NYC",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='NDVI' & city=='NYC',diff_ci_low_95,3,-0.033
L200,"NDVI Q5-minus-Q1 difference CI high, NYC",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='NDVI' & city=='NYC',diff_ci_high_95,3,0.014
L202,"Distance ratio Q5-vs-Q1 ratio-of-ratios, LA",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='closest_greenspace' & city=='LA',ratio_q5_vs_q1,2,0.96
L202,"Distance ratio Q5-vs-Q1 ratio CI low, LA",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='closest_greenspace' & city=='LA',ratio_ci_low_95,2,0.82
L202,"Distance ratio Q5-vs-Q1 ratio CI high, LA",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='closest_greenspace' & city=='LA',ratio_ci_high_95,2,1.12
L202,"Distance ratio Q5-vs-Q1 ratio-of-ratios, NYC",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='closest_greenspace' & city=='NYC',ratio_q5_vs_q1,2,0.86
L202,"Distance ratio Q5-vs-Q1 ratio CI low, NYC",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='closest_greenspace' & city=='NYC',ratio_ci_low_95,2,0.73
L202,"Distance ratio Q5-vs-Q1 ratio CI high, NYC",numeric_results_ice_effect_modification_difference_contrasts.csv,outcome=='closest_greenspace' & city=='NYC',ratio_ci_high_95,2,1.01
